CreditStatus,Age,Typeofapartment,DurationofCredit (month)
0,41,2,12
0,33,2,18
0,26,2,21
1,48,2,24
1,25,2,24
1,42,2,4
1,25,2,18
0,40,2,24
0,34,3,48
0,44,3,48
1,42,2,4
1,24,2,12
1,74,2,5
0,35,2,12
1,65,2,21
1,32,2,24
0,25,1,15
1,33,2,6
0,51,3,18
0,36,2,18
0,24,1,24
0,42,3,48
1,29,2,28
1,30,2,18
1,26,2,18
1,22,2,15
1,30,2,18
1,23,1,15
1,43,2,24
0,37,2,12
0,37,2,15
1,43,2,6
1,49,2,6
0,41,2,12
1,49,2,12
1,50,2,12
1,27,2,18
0,34,2,9
1,31,2,12
1,21,1,18
1,32,1,24
1,30,2,12
0,23,2,24
0,38,3,18
1,49,2,12
1,20,2,11
1,35,1,6
1,34,2,12
1,29,2,12
0,27,2,24
1,57,2,11
1,40,2,6
1,39,2,12
1,23,1,6
1,35,2,12
0,22,1,18
0,29,1,12
0,32,2,24
1,44,2,15
1,23,2,12
0,53,3,48
0,37,3,36
1,27,2,24
0,60,3,60
0,44,2,18
0,23,2,27
0,53,2,30
1,29,1,42
1,34,2,21
1,22,1,12
1,41,2,42
1,36,3,6
0,25,1,12
1,34,2,12
0,48,2,12
1,23,1,18
0,22,2,9
0,39,2,24
1,63,3,10
0,27,1,12
1,24,2,48
0,50,3,36
0,23,2,33
1,36,2,15
0,31,2,48
1,55,3,42
0,24,2,12
0,30,2,24
0,28,2,9
1,32,2,18
0,26,2,42
1,25,2,9
1,50,2,12
1,34,2,12
1,40,1,15
1,25,2,9
1,47,2,8
0,28,2,36
1,30,2,21
1,43,2,12
0,24,2,18
1,23,2,15
0,49,2,30
1,28,2,18
0,25,2,24
0,34,2,36
0,40,2,36
1,46,2,18
0,50,3,48
0,35,3,12
0,25,2,18
1,27,2,15
1,66,3,12
0,46,1,12
0,36,2,24
1,56,2,6
1,39,2,18
1,38,2,12
0,33,2,24
1,29,2,24
1,47,2,12
0,32,2,48
1,27,2,15
1,31,2,10
1,30,1,6
0,25,2,12
0,28,2,12
1,32,2,27
0,63,2,60
1,41,2,24
0,26,2,36
0,34,3,24
0,24,1,24
0,36,1,60
1,26,2,18
0,27,2,24
0,30,2,42
0,23,2,12
1,24,2,21
0,25,2,12
1,28,2,12
0,38,2,24
1,36,2,24
1,21,1,6
0,39,2,24
1,51,2,11
1,37,1,6
1,34,1,12
1,52,2,6
0,25,1,18
1,61,2,12
0,43,1,16
1,64,2,9
1,29,2,12
0,23,2,18
0,25,2,36
0,26,2,36
1,28,1,21
0,27,2,18
1,39,2,11
1,32,3,24
0,24,2,30
1,26,2,12
0,45,2,14
0,24,2,45
0,28,1,36
1,48,1,18
0,23,1,36
1,41,2,48
0,21,1,12
1,35,1,9
1,48,2,27
0,24,2,36
0,42,2,36
1,35,2,12
0,33,2,18
1,47,2,48
0,38,3,24
0,36,2,18
1,23,1,6
1,23,1,9
0,26,1,15
0,25,1,24
1,35,2,15
0,36,2,12
1,60,2,20
0,23,2,6
1,33,2,12
0,34,2,9
1,75,3,24
0,39,3,48
0,41,2,21
1,26,2,12
0,28,2,48
1,33,2,24
1,28,1,18
1,26,1,12
1,36,1,11
1,24,2,6
1,23,2,36
