Age2,Typeofapartment2,DurationofCredit2
41,2,12
33,2,18
26,2,21
48,2,24
25,2,24
42,2,4
25,2,18
40,2,24
34,3,48
44,3,48
42,2,4
24,2,12
74,2,5
35,2,12
65,2,21
32,2,24
25,1,15
33,2,6
51,3,18
36,2,18
24,1,24
42,3,48
29,2,28
30,2,18
26,2,18
22,2,15
30,2,18
23,1,15
43,2,24
37,2,12
37,2,15
43,2,6
49,2,6
41,2,12
49,2,12
50,2,12
27,2,18
34,2,9
31,2,12
21,1,18
32,1,24
30,2,12
23,2,24
38,3,18
49,2,12
20,2,11
35,1,6
34,2,12
29,2,12
27,2,24
57,2,11
40,2,6
39,2,12
23,1,6
35,2,12
22,1,18
29,1,12
32,2,24
44,2,15
23,2,12
53,3,48
37,3,36
27,2,24
60,3,60
44,2,18
23,2,27
53,2,30
29,1,42
34,2,21
22,1,12
41,2,42
36,3,6
25,1,12
34,2,12
48,2,12
23,1,18
22,2,9
39,2,24
63,3,10
27,1,12
24,2,48
50,3,36
23,2,33
36,2,15
31,2,48
55,3,42
24,2,12
30,2,24
28,2,9
32,2,18
26,2,42
25,2,9
50,2,12
34,2,12
40,1,15
25,2,9
47,2,8
28,2,36
30,2,21
43,2,12
24,2,18
23,2,15
49,2,30
28,2,18
25,2,24
34,2,36
40,2,36
46,2,18
50,3,48
35,3,12
25,2,18
27,2,15
66,3,12
46,1,12
36,2,24
56,2,6
39,2,18
38,2,12
33,2,24
29,2,24
47,2,12
32,2,48
27,2,15
31,2,10
30,1,6
25,2,12
28,2,12
32,2,27
63,2,60
41,2,24
26,2,36
34,3,24
24,1,24
36,1,60
26,2,18
27,2,24
30,2,42
23,2,12
24,2,21
25,2,12
28,2,12
38,2,24
36,2,24
21,1,6
39,2,24
51,2,11
37,1,6
34,1,12
52,2,6
25,1,18
61,2,12
43,1,16
64,2,9
29,2,12
23,2,18
25,2,36
26,2,36
28,1,21
27,2,18
39,2,11
32,3,24
24,2,30
26,2,12
45,2,14
24,2,45
28,1,36
48,1,18
23,1,36
41,2,48
21,1,12
35,1,9
48,2,27
24,2,36
42,2,36
35,2,12
33,2,18
47,2,48
38,3,24
36,2,18
23,1,6
23,1,9
26,1,15
25,1,24
35,2,15
36,2,12
60,2,20
23,2,6
33,2,12
34,2,9
75,3,24
39,3,48
41,2,21
26,2,12
28,2,48
33,2,24
28,1,18
26,1,12
36,1,11
24,2,6
23,2,36
28,2,6
21,2,12
43,2,27
41,2,30
22,2,18
22,2,9
29,2,24
31,2,36
30,3,36
32,3,18
22,2,15
33,2,12
31,2,48
22,1,12
33,2,42
35,2,9
26,1,30
30,2,18
24,2,48
52,2,9
32,2,6
49,2,12
40,2,18
20,1,15
43,2,36
57,1,30
40,2,30
63,2,24
54,3,24
48,2,48
61,3,18
39,3,15
45,3,42
20,1,12
36,2,12
33,1,20
26,1,15
22,2,30
22,2,24
28,2,6
37,2,12
35,2,24
20,2,24
26,2,21
24,1,48
33,2,12
23,1,36
60,2,24
24,2,20
39,3,15
31,1,24
61,2,12
47,2,24
44,2,12
42,1,24
52,2,12
49,2,10
24,1,18
31,2,36
29,1,36
45,2,10
39,2,20
37,1,48
51,3,8
24,2,21
35,2,21
29,2,9
39,2,8
45,2,6
37,3,12
27,2,21
21,1,30
28,2,24
23,3,45
44,2,24
34,2,30
30,2,9
63,2,30
45,2,14
54,1,15
37,2,36
24,2,15
21,1,45
28,1,15
40,2,11
32,2,36
33,2,18
37,2,48
33,2,9
27,2,18
38,2,36
51,2,6
34,2,21
52,2,12
27,2,36
27,2,45
21,1,24
29,2,12
47,2,18
32,2,24
52,2,6
31,2,24
31,2,10
31,1,10
27,2,27
38,2,24
45,2,39
60,3,24
27,2,18
25,2,39
26,2,24
32,3,36
36,2,27
35,2,24
29,2,18
27,2,40
37,2,4
30,2,48
48,2,24
57,3,36
23,2,10
25,2,21
42,3,36
34,2,42
41,2,6
38,3,30
41,2,18
23,1,24
35,2,12
29,1,36
40,2,11
43,2,24
29,2,4
46,2,12
38,2,12
24,1,15
45,2,12
27,2,24
35,2,12
22,2,6
32,1,24
36,2,21
45,2,18
43,2,18
33,2,12
29,2,24
62,2,6
29,2,6
25,2,9
20,1,12
36,1,24
27,2,24
36,2,18
35,2,18
25,2,30
25,2,24
28,2,24
29,1,12
29,1,24
34,2,24
33,1,48
40,2,18
29,2,36
27,2,27
25,2,9
34,2,18
24,1,30
44,3,24
54,1,36
42,2,12
36,1,9
33,1,36
32,2,6
31,2,30
28,2,30
31,2,24
26,2,12
36,3,6
44,3,24
63,2,15
34,2,24
26,2,27
22,1,24
25,1,18
28,2,24
26,2,12
23,2,18
23,1,24
28,3,15
25,2,36
43,2,24
23,2,6
20,1,24
66,2,9
34,2,6
28,2,18
30,2,30
44,2,6
24,3,24
28,2,24
33,2,9
35,2,12
58,3,48
24,2,20
29,2,24
28,2,12
23,1,15
31,2,15
26,1,9
29,2,6
53,3,12
59,1,48
32,2,18
43,2,12
22,1,18
56,2,12
57,2,12
31,2,18
38,2,12
42,3,60
31,2,24
33,2,24
35,2,7
24,2,6
33,2,12
35,2,24
36,2,18
33,2,24
25,2,15
26,1,21
36,2,30
35,1,10
21,1,6
24,2,72
22,2,12
65,2,12
23,2,12
30,2,36
29,2,12
41,2,21
34,2,18
43,1,12
66,2,30
30,2,18
36,2,24
45,2,24
37,2,24
26,1,18
35,3,6
46,2,24
22,2,24
41,1,12
26,2,6
46,3,48
25,2,15
21,2,24
32,2,48
40,2,15
47,2,21
48,3,10
29,2,9
39,1,12
23,2,12
34,3,24
34,2,30
38,2,15
32,3,18
38,2,48
54,2,24
31,1,36
26,2,24
23,1,24
55,2,12
37,2,24
24,2,9
37,1,12
28,2,30
28,2,36
24,1,24
29,2,36
26,2,24
34,3,60
31,2,20
37,2,9
55,3,12
46,2,15
46,2,15
23,3,45
34,2,24
24,1,48
35,2,18
23,1,12
36,3,48
20,1,12
58,2,30
28,1,24
54,2,48
30,2,36
47,2,30
45,2,12
36,2,24
35,2,15
54,2,48
46,1,7
65,3,18
26,2,30
49,2,30
31,2,12
28,2,18
45,2,6
23,2,10
47,3,36
51,2,12
70,3,10
48,3,24
61,2,15
34,2,48
37,2,6
44,1,12
33,1,18
27,2,9
31,2,30
34,2,36
20,1,24
38,2,18
26,2,30
21,1,27
27,1,36
26,2,8
42,2,36
31,2,18
35,2,9
47,2,18
35,3,36
40,1,18
25,2,48
44,2,20
25,2,24
40,2,22
22,1,9
30,2,18
37,2,18
37,3,36
30,2,48
41,2,6
54,2,24
37,2,9
47,3,24
33,1,21
35,2,24
24,2,9
26,2,48
30,3,24
23,2,12
20,1,18
28,2,24
28,2,13
39,2,6
68,2,6
30,2,30
26,2,12
22,2,48
47,2,15
27,2,10
45,2,12
34,2,15
29,1,24
32,2,10
30,2,12
29,2,15
40,2,24
26,2,6
40,1,28
32,2,24
36,3,18
25,2,24
48,2,9
50,2,27
30,3,21
34,2,15
51,3,8
29,3,12
26,2,12
22,2,18
32,2,12
28,2,30
61,2,15
41,2,36
25,2,30
74,3,9
30,2,27
27,2,12
46,1,15
53,2,12
30,2,12
26,2,18
35,2,24
33,2,18
33,2,18
